Systema(c,Raw,Common,Genbank,Column5,Gene SymboDescrip(on,,
1428078_at,34.20161,AV007605,AK002624,Rnft1,0610013E23RIKEN cDNA 0610013E23 gene,,
1433680_x_at,34.14631,Siva1,AV216351,null,"SIVA1, apoptosis?inducing factor",,
1416026_a_at,34.11734,MGC102182,NM_009076,Rpl12,ribosomal protein L12,,
1426808_at,33.52729,GBP,X16834,Lgals3,"lec(n, galactose binding, soluble 3",,
1416737_at,33.5267,Gys1,NM_008195,null,"glycogen synthase 1, muscle; synonym: Gys3; glycogen synthase 3, brain; Mus musculus glycogen synthase 1, muscle (Gys1), mRNA.",,
1439453_x_at,33.48328,Rnaseh2c,AV259141,null,"Ribonuclease H2, subunit C",,
1422508_at,33.21718,VA68,NM_007508,Atp6v1a,"ATPase, H+ transpor(ng, lysosomal V1 subunit A",,
1416740_at,32.98528,Col5a1,AW744319 ,Col5a1,"procollagen, type V, alpha 1",,
1418428_at,32.93665,KHC,BI328541,Kif5b,kinesin family member 5B,,
1416766_at,32.7954,2810484M10Rik,NM_133684Mosc2,Mtarc2,MOCO sulphurase C?terminal domain containing 2,,
1436958_x_at,32.73363,Hspa8,AV311925,null,"AV311925 RIKEN full?length enriched, 8 days embryo Mus musculus cDNA clone 5730601H19 3' similar to tropomyosin 5 (3'UTR)",,
1452622_a_at,32.6942,AA930854,AA201054,Tradd,TNFRSF1A?associated via death domain,,
1456584_x_at,32.49893,Phgdh,BB495884,null,3?phosphoglycerate dehydrogenase,,
1415820_x_at,32.41982,nonA,NM_023144,Nono,"non?POU?domain?containing, octamer binding protein",,
1429595_at,32.36318,mKIAA0586,AK012399,2700049A03Rik,2700049A03RIKEN cDNA 2700049A03 gene,,
1418171_at,32.28474,3930402F23Rik,NM_025703,Tceal8,transcrip(on elonga(on factor A (SII)?like 8,,
1460330_at,32.04865,Anx3,AW702161 ,Anxa3,annexin A3,,
1452646_at,31.8723,1110029F20Rik,AK003956,Trp53inp2,transforma(on related protein 53 inducible nuclear protein 2,,
1435857_s_at,31.76833,Aplp1,AI848048,null,Amyloid beta (A4) precursor?like protein 1,,
1437390_x_at,31.48698,Stx1a,AV339210,null,"AV339210 RIKEN full?length enriched, adult male olfactory bulb Mus musculus cDNA clone 6430502L06 3' similar to syntaxin A mRNA",,
1454908_x_at,31.35039,Serf1,AA709993,null,Small EDRK?rich factor 1,,
1419291_x_at,31.34081,Gas5,NM_013525,null,Growth arrest specific 5,,
1438640_x_at,31.27958,Pgk1,AV305101,null,"AV305101 RIKEN full?length enriched, 8 days embryo cDNA clone similar to Mus musculus X chromosome?linked phosphoglycerate kinase",,
1424170_at,31.27094,1110007B08Rik,BC025161,Phf5a,PHD finger protein 5A,,
1435086_s_at,31.01544,Klhdc2,AV298107,null,Kelch domain containing 2,,
1418002_at,30.95186,AA690237,NM_025933,Higd2a,"HIG1 domain family, member 2A",,
1415950_a_at,30.79064,Pbp,NM_018858,Pebp1,phospha(dylethanolamine binding protein 1,,
1451898_a_at,30.7418,Semay,AF363972,Sema6c,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C",,
1428334_at,30.73779,HSPC019,AK004546,Ostm1,osteopetrosis associated transmembrane protein 1,,
1438118_x_at,30.57676,Vim,AV147875,null,Vimen(n,,
1439253_x_at,30.41522,Fn1,AV111335,null,"AV111335 Mus musculus C57BL/6J 10?day embryo Mus musculus cDNA clone 2610001C16, mRNA sequence.",,
1448635_at,30.33004,CAPE,NM_008017,Smc2,structural maintenance of chromosomes 2,,
1435816_at,30.31497,Rps6,C81225,null,Ribosomal protein S6,,
1459589_at,30.10927,Cryl1,C85932,null,"Crystallin, lambda 1",,
1436813_x_at,29.93885,Khsrp,BB332580,null,KH?type splicing regulatory protein,,
1432164_a_at,29.86874,5730591C18Rik,AK003189,Gcsh,glycine cleavage system protein H (aminomethyl carrier),,
1420952_at,29.85195,C81487,BB701473,Son,Son cell prolifera(on protein,,
1428608_at,29.82892,RLC?B,AW494458 ,Myl12b,"myosin light chain, regulatory B",,
1451666_at,29.82147,AW538652,BI456232,Acly,ATP citrate lyase,,
1455439_a_at,29.60983,Lgals1,AI642438,null,"Lec(n, galactose binding, soluble 1",,
1437465_a_at,29.58355,PDI,BM232513 ,P4hb,"prolyl 4?hydroxylase, beta polypep(de",,
1455832_a_at,29.54171,Umps,BE951337,null,Uridine monophosphate synthetase,,
1416842_at,29.39336,Gstm5,NM_010360Gstm5,null,"glutathione S?transferase, mu 5",,
1428631_a_at,29.33031,1500004O06Rik,BG075002,Uqcrc2,ubiquinol cytochrome c reductase core protein 2,,
1424942_a_at,29.11751,Myc2,BC006728,Myc,myelocytomatosis oncogene,,
1450644_at,29.1016,Brf1,M58566,Zfp36l1,"zinc finger protein 36, C3H type?like 1",,
1460671_at,28.95403,Gpx,BI219063,Gpx1,glutathione peroxidase 1,,
1420622_a_at,28.75192,Hsc70,BC006722,Hspa8,heat shock protein 8,,
1450667_a_at,28.52865,Cis,AB056479,Cs,citrate synthase,,
1416850_s_at,28.3539,AU043990,NM_134007,Cisd1,"zinc finger, CDGSH?type domain 1",,
1433966_x_at,28.26473,Asns,AV212753,null,Asparagine synthetase,,
1429004_at,28.26144,Ndrp,AK012667,Phip,pleckstrin homology domain interac(ng protein,,
1437666_x_at,28.13131,TI?225,AW551908 ,Ubc,ubiqui(n C,,
1450028_a_at,28.11092,1700003F10Rik,NM_133737,Lancl2,LanC (bacterial lan(bio(c synthetase component C)?like 2,,
1434519_at,28.07559,Ddah1,AW556888,null,Dimethylarginine dimethylaminohydrolase 1,,
1418929_at,28.05868,Hippi,NM_028680Io57,Ift57,intraflagellar transport 57 homolog (Chlamydomonas),,
1416858_a_at,27.81918,FKBP25,NM_013902,Fkbp3,FK506 binding protein 3,,
1448179_at,27.79141,2010301L15Rik,BC024355,Atp5mk,upregulated during skeletal muscle growth 5,,
1422605_at,27.64541,0610038N18Rik,NM_021391,Ppp1r1a,"protein phosphatase 1, regulatory (inhibitor) subunit 1A",,
1416028_a_at,27.60758,Hn1,NM_008258Hn1,Jpt1,hematological and neurological expressed sequence 1,,
1447899_x_at,27.58094,Idh2,AV099587,null,"AV099587 Mus musculus C57BL/6J ES cell Mus musculus cDNA clone 2410049F08, mRNA sequence.",,
1455550_x_at,27.57657,Tde1,BE691746,Serinc3,serine incorporator 3,,
1453729_a_at,27.56718,3110005M08Rik,BF578245,Rpl37,ribosomal protein L37,,
1418625_s_at,27.53937,LOC14433,NM_008084,null,similar to glyceraldehyde?3?phosphate dehydrogenase,,
1419394_s_at,27.52294,p8,NM_013650,S100a8,S100 calcium binding protein A8 (calgranulin A),,
1438992_x_at,27.49908,Ab4,AV314773,Igkv4-62,Ac(va(ng transcrip(on factor 4,,
1447864_s_at,27.49305,Pogk,AV377712,null,Pogo transposable element with KRAB domain,,
1455491_at,27.37714,AA693301,BI686700,Hnrnph3,heterogeneous nuclear ribonucleoprotein H3,,
1434435_s_at,27.25917,AI037035,BM941165 ,Cox17,"cytochrome c oxidase, subunit XVII assembly protein homolog (yeast)",,
1451067_at,27.23495,Sgt,BC003836,Sgta,"small glutamine?rich tetratricopep(de repeat (TPR)?containing, alpha",,
1419205_x_at,27.20327,2610029K21Rik,NM_025663,Gpatch4,G patch domain containing 4,,
1433862_at,27.19836,SSE,BM200578 ,Espl1,extra spindle poles?like 1 (S. cerevisiae),,
1420142_s_at,27.14182,Pa2g4,AA672939,null,Prolifera(on?associated 2G4,,
1443824_s_at,26.93341,Car7,BB193643,null,Carbonic anhydrase 7,,
1419737_a_at,26.90478,Ldh1,NM_010699,Ldha,lactate dehydrogenase A,,
1447672_x_at,26.81502,AW539964,BB102342,Pskh1,"BB102342 RIKEN full?length enriched, 12 days embryo, embryonic body between diaphragm region and neck cDNA clone 9430081P04 3'",,
1416427_at,26.77525,Ccni,NM_017367Ccni,null,cyclin I,,
1436760_a_at,26.70546,Rps8,BQ127746,null,Ribosomal protein S8,,
1436839_at,26.66396,2010109K11Rik,BB174749,Ccdc71l,RIKEN cDNA 2010109K11 gene,,
1435800_a_at,26.59287,Csda,BB779100,Ybx3,Cold shock domain protein A,,
1448533_at,26.58941,CG22,NM_025548,Tbcb,tubulin folding cofactor B,,
1423807_a_at,26.51656,AL024017,BC021347,Calm2,calmodulin 2,,
1420350_at,26.43055,1110004E04Rik,NM_028625Sprrl2,Lce1a2,small proline rich?like 2,,
1416768_at,26.39918,MGC7185,NM_1336971110003E01RIKEN cDNA 1110003E01 gene,Smim14,null,,
1447824_x_at,25.93089,Hspa5,BE825102,null,"C0509E08?3 NIA Mouse E13.5 VMB Dopamine cell cDNA Library Mus musculus cDNA clone C0509E08 3', mRNA sequence.",,
1417935_at,25.91598,C81377,BI134671,Mkrn2,"makorin, ring finger protein, 2",,
1427901_at,25.86867,1110037D14Rik,AK004139,Mrps18c,mitochondrial ribosomal protein S18C,,
1426390_a_at,25.81547,Arf1,BE944919,Arf1,ADP?ribosyla(on factor 1,,
1428361_x_at,25.80288,Hba1,AK011116,Hba-a1,"hemoglobin alpha, adult chain 1",,
1460432_a_at,25.78118,Int6,AK002576,Eif3e,"eukaryo(c transla(on ini(a(on factor 3, subunit 6",,
1436523_s_at,25.59866,AI746582,AV111033,Rbis,1810022K09RIKEN cDNA 1810022K09 gene,,
1438925_x_at,25.5287,Atp6v0c,AV212820,null,"AV212820 RIKEN full?length enriched, ES cells Mus musculus cDNA clone 2410118O14 3' similar to vacuolar H(+)?ATPase (mvp) mRNA",,
1448697_s_at,25.4079,RPL36A,NM_025589,Rpl36al,ribosomal protein L36a?like,,
1415764_at,25.40573,KIAA0663,AK003350,Zc3h11a,zinc finger CCCH type containing 11A,,
1420304_x_at,25.23202,LOC667398,AV128236,null,"Similar to 40S ribosomal protein S4, X isoform",,
1435593_x_at,24.92154,Rps7,AI414989,null,Ribosomal protein S7,,
1448822_at,24.85127,Mpnd,BC013897,Psmb6,"proteasome (prosome, macropain) subunit, beta type 6",,
1438221_at,24.67539,C130065N10Rik,AI875682,Hycc2,RIKEN cDNA C130065N10 gene,,
1437235_x_at,24.59565,Lpp,BB218844,null,"BB218844 RIKEN full?length enriched, adult male aorta and vein Mus musculus cDNA clone A530051J15 3', mRNA sequence.",,
1415970_at,24.56555,Cox6c,NM_053071Cox6c,null,"cytochrome c oxidase, subunit VIc",,
1447936_at,24.51012,2410006H16Rik,AA939619,null,2410006H16RIKEN cDNA 2410006H16 gene,,
1455113_at,24.50692,HSPC056,BM232782 ,Armc8,armadillo repeat containing 8,,
1428601_at,24.40131,AU041756,AK005628,1700003E16Rik,1700003E16RIKEN cDNA 1700003E16 gene,,
1438170_x_at,24.1263,Adrm1,AV166873,null,"AV166873 Mus musculus head C57BL/6J 13?day embryo Mus musculus cDNA clone 3110048N17, mRNA sequence.",,
1425993_a_at,24.05932,Hsp105,D67017,Hsph1,heat shock protein 110,,
1440811_x_at,24.04517,Cd8a,BB030365,null,"BB030365 RIKEN full?length enriched, adult male thymus Mus musculus cDNA clone 5830453L17 3', mRNA sequence.",,
1459592_a_at,23.99333,Ppp1r13l,BB752796,null,"Protein phosphatase 1, regulatory (inhibitor) subunit 13 like",,
1420157_s_at,23.98387,Abcf1,AA408356,null,"ATP?binding casseVe, sub?family F (GCN20), member 1",,
1450649_at,23.8292,AV006524,NM_025277,Gng10,"guanine nucleo(de binding protein (G protein), gamma 10",,
1432526_a_at,23.8067,MGC7335,AK020203,Snf8,"SNF8, ESCRT?II complex subunit, homolog (S. cerevisiae)",,
1416143_at,23.67147,Atp5j,NM_016755Atp5j,Atp5pf,"ATP synthase, H+ transpor(ng, mitochondrial F0 complex, subunit F",,
1452056_s_at,23.65339,Caln,BQ173889,Ppp3ca,"protein phosphatase 3, cataly(c subunit, alpha isoform",,
1454860_x_at,23.50875,Dad1,BI966630,null,Defender against cell death 1,,
1460545_at,23.46118,Thrap3,BB531820,null,Thyroid hormone receptor associated protein 3,,
1417390_at,23.34477,MBDIN,NM_133756,Gpn1,XPA binding protein 1,,
1443835_x_at,23.33918,EG664786,BB208161,null,"Predicted gene, EG664786",,
1423531_a_at,23.30615,hnrnp?A1,BI663320,Hnrnpa1,heterogeneous nuclear ribonucleoprotein A1,,
1429421_at,23.29111,Phacs,AK011867,Accs,2610203E10RIKEN cDNA 2610203E10 gene,,
1438014_at,23.26736,D8Bwg1484e,BE984852,Mrpl34,mitochondrial ribosomal protein L34,,
1416547_at,23.22919,AI415450,NM_025597,Ndufb3,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3,,
1421878_at,23.21633,JNK2,BC024514,Mapk9,mitogen ac(vated protein kinase 9,,
1452625_at,23.19807,2310012I15Rik,AK009318,Kctd2,potassium channel tetramerisa(on domain containing 2,,
1426793_a_at,23.18239,L14,W11855,Rpl14,ribosomal protein L14,,
1455417_at,23.06449,Kcnj11,AV350759,null,"Potassium inwardly rec(fying channel, subfamily J, member 11",,
1416863_at,23.00273,AB030191,NM_022419,Abhd8,abhydrolase domain containing 8,,
1452757_s_at,22.94689,Hba1,AK011116,Hba-a1,"hemoglobin alpha, adult chain 1",,
1448557_at,22.92182,KIAA1796,NM_0242441200015N20RIKEN cDNA 1200015N20 gene,Fam13c,null,,
1448579_at,22.82424,CFR,BG074127,Glg1,golgi apparatus protein 1,,
1454714_x_at,22.81049,Phgdh,AA561726,null,3?phosphoglycerate dehydrogenase,,
1456204_at,22.78546,2010107H07Rik,AV069567,Uqcc5,RIKEN cDNA 2010107H07 gene,,
1448142_x_at,22.77069,MGC102403,NM_026533,Rps13,ribosomal protein S13,,
1452680_at,22.72874,SMD2,BQ043840,Snrpd2,small nuclear ribonucleoprotein D2,,
1439387_x_at,22.72192,BC039210,BB253397,Piezo1,CDNA sequence BC039210,,Not 100% sure
1415814_at,22.6593,HO57,NM_007509,Atp6v1b2,"ATPase, H+ transpor(ng, lysosomal V1 subunit B2",,
1436236_x_at,22.65635,2010004C08Rik,AI327078,Cotl1,coactosin?like 1 (Dictyostelium),,
1448149_at,22.63845,Catna1,NM_009818,Ctnna1,"catenin (cadherin associated protein), alpha 1",,
1417320_at,22.63719,MGC8152,NM_024478,Grpel1,"GrpE?like 1, mitochondrial",,
1419472_s_at,22.61167,SIG?92,NM_010948,Nudc,nuclear distribu(on gene C homolog (Aspergillus),,
1437460_x_at,22.5448,Rin1,BB264363,null,"BB264363 RIKEN full?length enriched, 10 days neonate cortex Mus musculus cDNA clone A830014P10 3', mRNA sequence.",,
1457629_at,22.52557,BC060631,BB251009,Atmin,"BB251009 RIKEN full?length enriched, 7 days neonate cerebellum Mus musculus cDNA clone A730044C07 3', mRNA sequence.",,
1439257_x_at,22.4463,Xbp1,BB519934,null,"BB519934 RIKEN full?length enriched, 16 days neonate heart Mus musculus cDNA clone D830039A19 3' similar to ribophorin I",,
1454878_at,22.43118,A230104G20,BM936291 2310047C04RIKEN cDNA 2310047C04 gene,Dzip3,null,,
1423079_a_at,22.42222,MAS20,AK002902,Tomm20,translocase of outer mitochondrial membrane 20 homolog (yeast),,
1436454_x_at,22.40344,Fen1,BB393998,null,Flap structure specific endonuclease 1,,
1422301_at,22.37952,Ftl,NM_008049,Ftl2-ps,ferri(n light chain 2,,
1423722_at,22.36793,ni?2,BC004013,Vmp1,transmembrane protein 49,,
1416921_x_at,22.34586,Aldo1,NM_007438,Aldoa,"aldolase 1, A isoform",,
1423262_a_at,22.34108,H3.3A,BI111967,H3f3a,"H3 histone, family 3A",,
1450721_at,22.33949,Acp?1,AW554436 ,Acp1,"acid phosphatase 1, soluble",,
1434132_at,22.17648,C76463,BE648090,Washc5,E430025E21RIKEN cDNA E430025E21 gene,,
1438166_x_at,22.14146,Ndufs4,AV219958,null,NADH dehydrogenase (ubiquinone) Fe?S protein 4,,
1426945_at,22.12896,IMB3,AW536621 ,Ipo5,RAN binding protein 5,,
1430985_at,22.10125,3110009M16Rik,BG088666,Tmem256,1810027O1 RIKEN cDNA 1810027O10 gene,,
1434987_at,22.07736,Aldh2,AI462635,null,"Aldehyde dehydrogenase 2, mitochondrial",,
1460677_at,22.03858,p59,BC023432,Spats2,"spermatogenesis associated, serine?rich 2",,
1441366_at,22.02325,null,BG067531,null,"H3055D10?3 NIA Mouse 15K cDNA Clone Set Mus musculus cDNA clone H3055D10 3', mRNA sequence.",,
1423857_at,21.99631,Rpml28,BC004614,Mrpl30,mitochondrial ribosomal protein L30,,
1438938_x_at,21.97119,Ccl9,AV212294,null,"AV212294 RIKEN full?length enriched, ES cells Mus musculus cDNA clone 2410103C07 3' similar to B?cell receptor associated protein 37",,
1436785_a_at,21.96094,Sec14l3,AV024133,null,SEC14?like 3 (S. cerevisiae),,
1425469_a_at,21.93715,null,BC003855,null,"Mus musculus cDNA clone MGC:6439 IMAGE:3601769, complete cds.",,
1416037_a_at,21.76826,Cctb,NM_007636,Cct2,chaperonin subunit 2 (beta),,
1436038_a_at,21.70234,Pigp,BF318238,null,"Phospha(dylinositol glycan anchor biosynthesis, class P",,
1436784_x_at,21.62457,Sf3b4,AU021081,null,"Splicing factor 3b, subunit 4",,
1437846_x_at,21.60664,Bace2,BB348062,null,Beta?site APP?cleaving enzyme 2,,
1438847_at,21.58715,Mxd3,BB836571,null,Max dimeriza(on protein 3,,
1433533_x_at,21.57347,Prkag1,BM198997,null,"Protein kinase, AMP?ac(vated, gamma 1 non?cataly(c subunit",,
1454137_s_at,21.5217,HJV,AK009636,Hjv,hemochromatosis type 2 (juvenile) (human homolog),,
1455035_s_at,21.48955,NOP56,BM249243 ,Nop56,nucleolar protein 5A,,
1454611_a_at,21.46104,Calm1,BB058862,null,"BB058862 RIKEN full?length enriched, 2 days neonate sympathe(c ganglion Mus musculus cDNA clone similar tocalmodulin",,
1435651_a_at,21.11581,Smarcad1,BM055692,null,"SWI/SNF?related, matrix?associated ac(n?dependent regulator of chroma(n, subfamily a, containing DEAD/H box 1`",,
1424878_at,21.08966,LRN,BC012525,Lrch4,leucine?rich repeats and calponin homology (CH) domain containing 4,,
1419921_s_at,21.0522,Usp7,AW548146,null,Ubiqui(n specific pep(dase 7,,
1416171_at,21.05105,MGC101985,NM_1337142310037I24 RIKEN cDNA 2310037I24 gene,Kansl2,null,,
1442554_s_at,21.04892,Kalrn,BG066934,null,"Kalirin, RhoGEF kinase",,
1423897_at,21.00408,AB030190,AW488376 ,Rnf187,ring finger protein 187,,
1430538_at,20.95144,AI181827,BB303199,Nbdy,2210013O2 RIKEN cDNA 2210013O21 gene,,
1435898_x_at,20.8188,Gdi2,BM219381,null,Guanosine diphosphate (GDP) dissocia(on inhibitor 2,,
1415762_x_at,20.80141,1110047B07Rik,AV021593,Mrpl52,mitochondrial ribosomal protein L52,,
1416669_s_at,20.78527,skNAC,NM_013608,Naca,nascent polypep(de?associated complex alpha polypep(de,,
1423715_a_at,20.71425,Rub1,BC004625,Nedd8,"neural precursor cell expressed, developmentally down?regulated gene 8",,
1418579_at,20.52537,caltrac;n,BC013545,Cetn2,centrin 2,,
1460709_a_at,20.51893,Bat5,BG071718,Abhd16a,HLA?B associated transcript 5,,
1434828_at,20.46767,1600010D10Rik,BM200103 B430201A12RIKEN cDNA B430201A12 gene,Eeig2,null,,
1416099_at,20.43948,MGC103134,NM_011289,Rpl27,ribosomal protein L27,,
1433603_at,20.32169,Ndufs6,C88200,null,NADH dehydrogenase (ubiquinone) Fe?S protein 6,,
1448222_x_at,20.31809,COX8L,NM_007750,Cox8a,"cytochrome c oxidase, subunit VIIIa",,
1426956_a_at,20.24999,53BP1,AJ414734,Trp53bp1,transforma(on related protein 53 binding protein 1,,
1448479_at,20.24314,Psd3,NM_009439,Psmd3,"proteasome (prosome, macropain) 26S subunit, non?ATPase, 3",,
1417321_at,20.1844,Zcchc7,"NM_138590D4Wsu132eDNA segment, Chr 4, Wayne State University 132, expressed",null,null,,
1423537_at,20.15037,Gap43,BB622036,null,Growth associated protein 43,,
1451262_a_at,20.0686,Jtv1,BC026972,Aimp2,JTV1 gene,,
1441937_s_at,20.06638,Pink1,AV371921,null,"AV371921 RIKEN full?length enriched, adult male colon Mus musculus cDNA clone 9030421M17 3', mRNA sequence.",,
1454671_at,19.89103,Insig?1,BB005488,Insig1,insulin induced gene 1,,
1417910_at,19.83576,Ccn1,X75483,Ccna2,cyclin A2,,
1423739_x_at,19.82379,AI790698,U15571,Aplp2,amyloid beta (A4) precursor?like protein 2,,
1456695_x_at,19.82037,Anapc5,BF720337,null,Anaphase?promo(ng complex subunit 5,,
1434985_a_at,19.78368,Eif4a1,BF320852,null,Eukaryo(c transla(on ini(a(on factor 4A1,,
1427539_a_at,19.75749,Zwint?1,BC013559,Zwint,ZW10 interactor,,
1415896_x_at,19.70043,SMN,NM_013670,Snrpn,small nuclear ribonucleoprotein N,,
1453661_at,19.68899,9130403I23Rik,AK018659,null,9130403I23 RIKEN cDNA 9130403I23 gene,,
1433999_at,19.61917,9A2,BI111765,Slk,STE20?like kinase (yeast),,
1449304_at,19.61652,2310061J03Rik,NM_1336772310061J03RIKEN cDNA 2310061J03 gene,Zbtb11os1,null,,
1438645_x_at,19.60778,Smpd1,BB558905,null,"BB558905 RIKEN full?length enriched, 2 days pregnant adult female ovary Mus musculus cDNA clone similar to aspartyl protease",,
1433991_x_at,19.47872,Dbi,AV007315,null,Diazepam binding inhibitor,,
1428218_a_at,19.4504,1600012H06Rik,AK017276,null,1600012H06RIKEN cDNA 1600012H06 gene,,
1437164_x_at,19.39411,Atp5po,AV066932,null,"ATP synthase, H+ transpor(ng, mitochondrial F1 complex, O subunit",,
1417490_at,19.33563,Ctsb,M14222,Ctsb,cathepsin B,,
1415725_at,19.31238,Tif1a,AA866997,Rrn3,RRN3 RNA polymerase I transcrip(on factor homolog (yeast),,
1460564_at,19.23288,Suhw2,BB401995,Zfp280b,Suppressor of hairy wing homolog 2 (Drosophila),,
1456037_x_at,19.03703,Preb,BB225012,null,Prolac(n regulatory element binding,,
1438659_x_at,19.02445,Chchd6,BB458460,null,"BB458460 RIKEN full?length enriched, 12 days embryo spinal ganglion Mus musculus cDNA clone D130057E08 3', mRNA sequence.",,
1424110_a_at,19.02373,NM23A,BC005629,Nme1,"expressed in non?metasta(c cells 1, protein",,
1437503_a_at,19.0184,Sco;n,BB533076,Shisa5,Sco(n gene,,
1452586_at,18.99213,SWM1,BM122700 ,Anapc13,anaphase promo(ng complex subunit 13,,
1436716_at,18.94134,Png,BM941586 ,Ppp1r14b,"protein phosphatase 1, regulatory (inhibitor) subunit 14B",,
1417286_at,18.89817,2900002J19Rik,NM_026614,Ndufa5,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5",,
1440803_x_at,18.85163,Tacr3,BB498416,null,"BB498416 RIKEN full?length enriched, 0 day neonate kidney Mus musculus cDNA clone D630014G22 3', mRNA sequence.",,
1449390_at,18.80685,2610029K21Rik,NM_025663,Gpatch4,G patch domain containing 4,,
1447904_s_at,18.7898,Fnta,AV313761,null,"Farnesyltransferase, CAAX box, alpha",,
1448164_at,18.75172,Peas,NM_027910,Klhdc3,kelch domain containing 3,,
1454636_at,18.74996,HP1,AV114188,Cbx5,chromobox homolog 5 (Drosophila HP1a),,
1419864_x_at,18.73288,Tnpo1,AA119213,null,Transpor(n 1,,
1435017_at,18.72609,Mel13,AV000569,Cisd3,Melanoma nuclear protein 13,,
1437071_at,18.66958,Eif1ay,BB471576,null,Transcribed locus,,
1437773_x_at,18.53863,Ddx17,BB476615,null,DEAD (Asp?Glu?Ala?Asp) box polypep(de 17,,
1456365_at,18.43331,LOC629750,AU043383,Gm11517,Similar to ubiqui(n A?52 residue ribosomal protein fusion product 1,,
1449434_at,18.38208,Car?3,NM_007606,Car3,carbonic anhydrase 3,,
1433679_at,18.22255,Fubp3,BB399719,null,Far upstream element (FUSE) binding protein 3,,
1451071_a_at,18.19737,Atpa?1,BC025618,Atp1a1,"ATPase, Na+/K+ transpor(ng, alpha 1 polypep(de",,
1423859_a_at,18.18439,PGD2,AB006361,Ptgds,prostaglandin D2 synthase (brain),,
1448237_x_at,18.16718,Ldh2,NM_008492,Ldhb,lactate dehydrogenase B,,
1448483_a_at,18.10917,8kDa,NM_026612,Ndufb2,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2",,
1421062_s_at,18.05564,AV026556,NM_016760,Clta,"clathrin, light polypep(de (Lca)",,
1434079_s_at,18.04296,Mcm2,BB699415,null,Minichromosome maintenance deficient 2 mito(n (S. cerevisiae),,
1439447_x_at,18.03068,Rpl37a,AV056887,null,Ribosomal protein L37a,,
1422880_at,17.99007,Sypl,BE333485,Sypl1,Synaptophysin?like protein,,
1450706_a_at,17.96175,Arl3,NM_019718Arl3,null,ADP?ribosyla(on factor?like 3,,
1423716_s_at,17.95012,C85518,BC008273,Atp5f1d,"ATP synthase, H+ transpor(ng, mitochondrial F1 complex, delta subunit",,
1455809_x_at,17.91485,Ric8,BB224153,Ric8a,Resistance to inhibitors of cholinesterase 8 homolog (C. elegans),,
1441921_x_at,17.90283,Esrrb,BB386239,null,"BB386239 RIKEN full?length enriched, 0 day neonate cerebellum Mus musculus cDNA clone C230045F23 3', mRNA sequence.",,
1451311_a_at,17.82626,Paqr1,BC014875,Adipor1,adiponec(n receptor 1,,
1426730_a_at,17.82068,Plpk,AK005411,Prl2b1,prolac(n?like protein K,,
1440151_s_at,17.76117,Edf1,AV003223,null,Endothelial differen(a(on?related factor 1,,
1448430_a_at,17.74862,skNAC,NM_013608,Naca,nascent polypep(de?associated complex alpha polypep(de,,
1454929_s_at,17.74671,Saa,BI415208,null,Scaffold aVachment factor B,,
1451369_at,17.68262,Hcarg,BC025891,Commd5,COMM domain containing 5,,
1420376_a_at,17.63505,H3.3B,NM_008211,H3f3b,"H3 histone, family 3B",,
1419945_s_at,17.60992,Rab2,C80220,Rab2a,"RAB2, member RAS oncogene family",,
1456471_x_at,17.59365,Phgdh,BB204486,null,3?phosphoglycerate dehydrogenase,,
1455266_at,17.56438,KINN,BB698320,Kif5c,kinesin family member 5C,,
1427270_a_at,17.55549,AW011758,BF729638,Bsdc1,BSD domain containing 1,,
1438093_x_at,17.48227,Dbi,BB115327,null,Diazepam binding inhibitor,,
1439436_x_at,17.48126,Tia1,BB418702,null,"BB418702 RIKEN full?length enriched, 12 days embryo spinal cord cDNA clone similar to inner centromere protein INCENP (Incenp)",,
1416506_at,17.4691,IOTA,NM_011968,Psma6,"proteasome (prosome, macropain) subunit, alpha type 6",,
1451124_at,17.36788,Ipo1,BC002066,Sod1,"superoxide dismutase 1, soluble",,
1437405_a_at,17.33918,Igap4,BB787243,Igfbp4,Insulin?like growth factor binding protein 4,,
1459911_at,17.33004,Cdr2l,AA285490,null,Cerebellar degenera(on?related protein 2?like,,
1454696_at,17.32958,Gnb?1,BG071068,Gnb1,"guanine nucleo(de binding protein, beta 1",,
1435317_x_at,17.20298,Psma6,AA189256,null,"Proteasome (prosome, macropain) subunit, alpha type 6",,
1438988_x_at,17.12564,Hn1,AV067695,Jpt1,"AV067695 Mus musculus small intes(ne C57BL/6J adult Mus musculus cDNA clone 2010208E11, mRNA sequence.",,
1455571_x_at,17.11956,Calm1,AV015462,null,Calmodulin 1,,
1451421_a_at,17.11884,Lzf,BC006914,Rogdi,rogdi homolog (Drosophila),,
1416128_at,17.08677,M[a]6; Tuba6,NM_009448,Tuba1c,"tubulin, alpha 1C",,
1456438_x_at,17.07893,Rpn1,BB145729,null,Ribophorin I,,
1433645_at,17.07306,CTL1,BM207133 ,Slc44a1,"solute carrier family 44, member 1",,
1456727_a_at,17.03897,Csnk1d,AW413676,null,"Casein kinase 1, delta",,
1417815_a_at,17.0182,Tde1,NM_012032,Serinc3,serine incorporator 3,,
