id_Symbol,id_Entrez,id_OMIM,id_humanID,id_HPRD,id_HGNC,id_Chromosome location,id_hPSD,id_Gene group,id_Main class,id_Accompanying phenotype,id_Inheritance pattern,id_Inheritance type,id_Limited confidence criterion,id_Disease type,id_Disease subtype,id_Haploinsufficiency,id_OMIM disease,id_Gene ontology-based annotation,id_Screened wing,id_Screened neuronal
DLG3,1741,300189,ENSG00000082458,2177,2902,Xq13.1,1,ID data freeze 388,3,NULL,Mendelian X-linked,recessive,0,"MENTAL RETARDATION, X-LINKED","MENTAL RETARDATION, X-LINKED 90; MRX90",0,300850,"glutamate receptor signaling, ion transport, metabolism, nervous system development, synapse, transporters",1,1
DMD,1756,300377,ENSG00000198947,2303,2928,Xp21.2,0,ID data freeze 388,8a,"C, Q",Mendelian X-linked,recessive,0,"MUSCULAR DYSTROPHY; CARDIOMYOPATHY, DILATED","MUSCULAR DYSTROPHY, DUCHENNE TYPE; DMDE; MUSCULAR DYSTROPHY, BECKER TYPE; BMD; CARDIOMYOPATHY, DILATED, 3B; CMD3B",0,310200; 300376; 302045,"actin, cardiac muscle contraction, Cilia, ion transport, metabolism, nervous system development, response to growth factor, RNA metabolism, synapse, transcription, transporters",1,1
DMPK,1760,605377,ENSG00000104936,5645,2933,19q13.3,0,ID data freeze 388,8a,"(C), Q, T",Mendelian autosomal,dominant,0,MYOTONIC DYSTROPHY,MYOTONIC DYSTROPHY 1; DM1,1,160900,"ion transport, metabolism, mitochondria, synapse, transporters",0,0
DNAJC19,131118,608977,ENSG00000205981,12349,30528,3q26.33,1,ID data freeze 388,5,"A, H, M, Q, R, W",Mendelian autosomal,recessive,0,3-METHYLGLUTACONIC ACIDURIA,"3-METHYLGLUTACONIC ACIDURIA, TYPE V; MGCA5",0,610198,"mitochondria, protein transport, transporters",1,1
DNMT3B,1789,602900,ENSG00000088305,4209,2979,20q11.2,0,ID data freeze 388,5,J,Mendelian autosomal,recessive,0,IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME,IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 1; ICF1,0,242860,"chromatin, metabolism, nervous system development, RNA metabolism, transcription",0,0
DPAGT1,1798,191350,ENSG00000172269,1879,2995,11q23.3,0,ID data freeze 388,5,"B, E, H, M",Mendelian autosomal,recessive,1; 0,"CONGENITAL DISORDER OF GLYCOSYLATION; MYASTHENIC SYNDROME, CONGENITAL, WITH TUBULAR AGGREGATES","CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IJ; CDG1J; MYASTHENIC SYNDROME, CONGENITAL, WITH TUBULAR AGGREGATES 2; CMSTA2",0,608093; 614750,glycosylation,1,1
DPM1,8813,603503,ENSG00000000419,4613,3005,20q13.13,1,ID data freeze 388,5,"B, E, H, M",Mendelian autosomal,recessive,0,CONGENITAL DISORDER OF GLYCOSYLATION,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IE; CDG1E",0,608799,glycosylation,1,1
DPYD,1806,612779,ENSG00000188641,2036,3012,1p22,0,ID data freeze 388,5,"E, H, M",Mendelian autosomal,recessive,0,DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIENCY,DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIENCY,0,274270,NULL,1,1
DYM,54808,607461,ENSG00000141627,8469,21317,18q21.1,0,ID data freeze 388,5,"A, B, U",Mendelian autosomal,recessive,0,DYGGVE-MELCHIOR-CLAUSEN DISEASE; SMITH-MCCORT DYSPLASIA,DYGGVE-MELCHIOR-CLAUSEN DISEASE; DMC; SMITH-MCCORT DYSPLASIA; SMC,0,223800; 607326,NULL,1,1
DYNC1H1,1778,600112,ENSG00000197102,2524,2961,14q32,1,ID data freeze 650,"1, 8a","H, L1, L2",Mendelian autosomal,dominant,1; 0,"MENTAL RETARDATION, AUTOSOMAL DOMINANT; CHARCOT-MARIE-TOOTH DISEASE, AXONAL; SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY, AUTOSOMAL DOMINANT","MENTAL RETARDATION, AUTOSOMAL DOMINANT 13; MRD13; CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2O; CMT2O; SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY, AUTOSOMAL DOMINANT; SMALED",0,614563; 614228; 158600,"cell cycle, centrosome, microtubule, transporters",0,0
DYRK1A,1859,600855,ENSG00000157540,9018,3091,21q22.13,0,ID data freeze 650,2,"A, B, E, P",Mendelian autosomal,dominant,1,"MENTAL RETARDATION, AUTOSOMAL DOMINANT","MENTAL RETARDATION, AUTOSOMAL DOMINANT 7; MRD7",1,614104,"cell cycle, metabolism, nervous system development",0,0
EEF1B2,1933,600655,ENSG00000114942,2804,3208,2q33.3,0,ID data freeze 650,6,NULL,Mendelian autosomal,recessive,1,non-syndromic ID,non-syndromic ID,0,NULL,NULL,0,0
EFTUD2,9343,603892,ENSG00000108883,4869,30858,17q21.31,0,ID data freeze 650,4,"B, (E), Uc, V, X",Mendelian autosomal,dominant,0,MANDIBULOFACIAL DYSOSTOSIS,"MANDIBULOFACIAL DYSOSTOSIS, GUION-ALMEIDA TYPE; MFDGA",0,610536,RNA metabolism,0,0
EHMT1,79813,607001,ENSG00000181090,7383,24650,9q34.3,0,ID data freeze 388,1,"B, E, H, J, N, P, V, W",Mendelian autosomal,dominant,0,KLEEFSTRA SYNDROME,KLEEFSTRA SYNDROME,1,610253,"chromatin, metabolism, RNA metabolism, transcription",1,1
EIF2AK3,9451,604032,ENSG00000172071,4942,3255,2p12,0,ID data freeze 388,8a,"A, C, K, U",Mendelian autosomal,recessive,0,"EPIPHYSEAL DYSPLASIA, MULTIPLE, WITH EARLY-ONSET DIABETES MELLITUS","EPIPHYSEAL DYSPLASIA, MULTIPLE, WITH EARLY-ONSET DIABETES MELLITUS",0,226980,"metabolism, nervous system development, RNA metabolism, transcription, transporters",1,1
EIF2S3,1968,300161,ENSG00000130741,2155,3267,Xp22.2-p22.1,0,ID data freeze 650,2,"A, B, H, L2",Mendelian X-linked,not sure,1,ID and microcephaly,ID and microcephaly,0,NULL,NULL,0,0
ELOVL4,6785,605512,ENSG00000118402,5697,14415,6q14,0,ID data freeze 650,2,"E, H, S",Mendelian autosomal,recessive,1; 0,"ICHTHYOSIS, SPASTIC QUADRIPLEGIA, AND MENTAL RETARDATION; STARGARDT DISEASE","ICHTHYOSIS, SPASTIC QUADRIPLEGIA, AND MENTAL RETARDATION; ISQMR; STARGARDT DISEASE 3; STGD3",0,614457; 600110,NULL,0,0
ELP2,55250,NULL,ENSG00000134759,15443,18248,18q12.2,0,ID data freeze 650,6,NULL,Mendelian autosomal,recessive,1,non-syndromic ID,non-syndromic ID,0,NULL,"chromatin, metabolism, RNA metabolism, transcription",0,0
EMX2,2018,600035,ENSG00000170370,2495,3341,10q26.1,0,ID data freeze 388,4,"E, H, L1",Mendelian autosomal,dominant,0,SCHIZENCEPHALY,SCHIZENCEPHALY; SCHIZENCEPHALY,0,269160,nervous system development,1,1
ENTPD1,953,601752,ENSG00000138185,9047,3363,10q24,0,ID data freeze 650,3,NULL,Mendelian autosomal,recessive,1,non-syndromic ID,non-syndromic ID,0,NULL,NULL,0,0
EP300,2033,602700,ENSG00000100393,4078,3373,22q13.2,0,ID data freeze 388,1,"A, (N), (T), (Ua), (V), (W)",Mendelian autosomal,dominant,0,RUBINSTEIN-TAYBI SYNDROME,RUBINSTEIN-TAYBI SYNDROME 2; RSTS2,0,613684,"actin, cell cycle, chromatin, metabolism, nervous system development, protein transport, RNA metabolism, transcription, transporters, vesicle transport",1,1
EPG5,57724,615068,ENSG00000152223,11157,29331,18q12.3,0,ID data freeze 650,1,"(C), E, J, L1, Q, S, T, V",Mendelian autosomal,recessive,0,VICI SYNDROME,VICI SYNDROME; VICIS,0,242840,NULL,0,0
ERCC1,2067,126380,ENSG00000012061,533,3433,19q13.32,0,ID data freeze 650,8b,"A, B, C, L2, U",Mendelian autosomal,recessive,1,CEREBROOCULOFACIOSKELETAL SYNDROME,CEREBROOCULOFACIOSKELETAL SYNDROME 4; COFS4,0,610758,"DNA repair, metabolism",0,0
ERCC2,2068,126340,ENSG00000104884,530,3434,19q13.3,0,ID data freeze 388,"2, 5, 8b","A, B, C, G, H, I, S, T, U, W",Mendelian autosomal,recessive,0; 1,XERODERMA PIGMENTOSUM; CEREBROOCULOFACIOSKELETAL SYNDROME; TRICHOTHIODYSTROPHY,"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP D; XPD; CEREBROOCULOFACIOSKELETAL SYNDROME 2; COFS2; TRICHOTHIODYSTROPHY, PHOTOSENSITIVE; TTDP",0,278730; 610756; 601675,"cell cycle, chromosome segregation, DNA repair, metabolism, microtubule, nervous system development, RNA metabolism, transcription",1,1
ERCC3,2071,133510,ENSG00000163161,593,3435,2q21,0,ID data freeze 388,"5, 8a","B, G, H, I, S, T",Mendelian autosomal,recessive,0,XERODERMA PIGMENTOSUM; TRICHOTHIODYSTROPHY,"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP B; XPB; TRICHOTHIODYSTROPHY, PHOTOSENSITIVE; TTDP",0,610651; 601675,"cell cycle, DNA repair, metabolism, nervous system development, RNA metabolism, transcription",1,1
ERCC4,2072,133520,ENSG00000175595,594,3436,16p13.12,0,ID data freeze 650,"8a, 8b","A, B, C, G, H, J, L2, S, U, W",Mendelian autosomal,recessive,1; 0,XERODERMA PIGMENTOSUM/Cockayne syndrome; FANCONI ANEMIA; XFE PROGEROID SYNDROME,"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP F; XPF/Cockayne syndrome; FANCONI ANEMIA, COMPLEMENTATION GROUP Q; FANCQ; XFE PROGEROID SYNDROME",0,278760; 615272; 610965,"cell cycle, chromosome segregation, DNA repair, metabolism",0,0
ERCC5,2073,133530,ENSG00000134899,595,3437,13q33,0,ID data freeze 388,8b,"B, G, H, I, S, T",Mendelian autosomal,recessive,0,XERODERMA PIGMENTOSUM,"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP G; XPG",0,278780,DNA repair,1,1
ERCC6,2074,609413,ENSG00000225830,596,3438,10q11.23,0,ID data freeze 388,"5, 8b","A, C, G, H, L2, S, T",Mendelian autosomal,recessive,0; 1,COCKAYNE SYNDROME; DE SANCTIS-CACCHIONE SYNDROME; CEREBROOCULOFACIOSKELETAL SYNDROME; UV-SENSITIVE SYNDROME,"COCKAYNE SYNDROME, TYPE B; DE SANCTIS-CACCHIONE SYNDROME; CEREBROOCULOFACIOSKELETAL SYNDROME 1; COFS1; UV-SENSITIVE SYNDROME 1; UVSS1E",0,133540; 278800; 214150; 600630,"chromatin, DNA repair, MAPK signaling, metabolism, RNA metabolism, transcription",0,0
ERCC8,1161,609412,ENSG00000049167,7523,3439,5q12.1,0,ID data freeze 388,5,"A, C, G, H, L2, S, T",Mendelian autosomal,recessive,0,COCKAYNE SYNDROME; UV-SENSITIVE SYNDROME,"COCKAYNE SYNDROME, TYPE A; CSA; UV-SENSITIVE SYNDROME 2; UVSS2",0,216400; 614621,"DNA repair, metabolism, ubiquitination",0,0
ERLIN2,11160,611605,ENSG00000147475,15437,1356,8p11.2,1,ID data freeze 650,2,"E, G, H, U",Mendelian autosomal,recessive,1,"SPASTIC PARAPLEGIA, AUTOSOMAL RECESSIVE","SPASTIC PARAPLEGIA 18, AUTOSOMAL RECESSIVE; SPG18",0,611225,NULL,0,0
ESCO2,157570,609353,ENSG00000171320,18564,27230,8p21.1,0,ID data freeze 388,4,"A, C, Ua, Uc",Mendelian autosomal,recessive,0,ROBERTS SYNDROME; SC PHOCOMELIA SYNDROME,ROBERTS SYNDROME; RBS; SC PHOCOMELIA SYNDROME,0,268300; 269000,"cell cycle, chromatin, metabolism",1,1
ETHE1,23474,608451,ENSG00000105755,9764,23287,19q13.31,0,ID data freeze 388,"2, 8b","C, G, H, M, (O), (S)",Mendelian autosomal,recessive,0,"ENCEPHALOPATHY, ETHYLMALONIC","ENCEPHALOPATHY, ETHYLMALONIC; EE",0,602473,mitochondria,0,0
FAM126A,84668,610531,ENSG00000122591,16837,24587,7p15.3,0,ID data freeze 650,5,"G, H, L2, T",Mendelian autosomal,recessive,0,"LEUKODYSTROPHY, HYPOMYELINATING","LEUKODYSTROPHY, HYPOMYELINATING, 5; HLD5",0,610532,NULL,0,0
FANCD2,2177,613984,ENSG00000144554,1968,3585,3p26,0,ID data freeze 388,8a,"A, C, I, P, R, Ua",Mendelian autosomal,recessive,0,FANCONI ANEMIA,"FANCONI ANEMIA, COMPLEMENTATION GROUP D2; FANCD2",0,227646,"cell cycle, DNA repair",0,1
FASN,2194,600212,ENSG00000169710,2567,3594,17q25,1,ID data freeze 650,6,NULL,Mendelian autosomal,recessive,1,non-syndromic ID,non-syndromic ID,0,NULL,"metabolism, mitochondria",0,0
FBXL4,26235,605654,ENSG00000112234,5738,13601,6q16.1-q16.3,0,ID data freeze 650,8b,"B, C, H, L2, M",Mendelian autosomal,recessive,0,MITOCHONDRIAL DNA DEPLETION SYNDROME 13 (ENCEPHALOMYOPATHIC TYPE),MITOCHONDRIAL DNA DEPLETION SYNDROME 13 (ENCEPHALOMYOPATHIC TYPE); MTDPS13,0,615471,mitochondria,0,0
FGD1,2245,300546,ENSG00000102302,2373,3663,Xp11.21,0,ID data freeze 388,4,"A, P, W",Mendelian X-linked,not sure,0,AARSKOG-SCOTT SYNDROME,AARSKOG-SCOTT SYNDROME; AAS,0,305400,"actin, MAPK signaling, metabolism, response to growth factor, small GTPase signaling",0,0
FGFR1,2260,136350,ENSG00000077782,634,3688,8p11.23-p11.22,0,ID data freeze 650,4,"(H), K, L1, Ua, W",Mendelian autosomal,dominant,1; 0,HARTSFIELD SYNDROME; HYPOGONADOTROPIC HYPOGONADISM ; JACKSON-WEISS SYNDROME; OSTEOGLOPHONIC DYSPLASIA; PFEIFFER SYNDROME; TRIGONOCEPHALY,HARTSFIELD SYNDROME; HRTFDS; HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA; HH2; JACKSON-WEISS SYNDROME; JWS; OSTEOGLOPHONIC DYSPLASIA; OGD; PFEIFFER SYNDROME; TRIGONOCEPHALY 1; TRIGNO1,0,615465; 147950; 123150; 166250; 101600; 190440,"cell cycle, MAPK signaling, metabolism, nervous system development, response to growth factor, RNA metabolism, transcription",0,0
FGFR2,2263,176943,ENSG00000066468,1492,3689,10q26,0,ID data freeze 388,"4, 7","S, T, Ua, Ub, W",Mendelian autosomal,dominant,0,"APERT SYNDROME; BEARE-STEVENSON CUTIS GYRATA SYNDROME; PFEIFFER SYNDROME; ANTLEY-BIXLER SYNDROME; JACKSON-WEISS SYNDROME; SAETHRE-CHOTZEN SYNDROME; CROUZON SYNDROME; ENT BONE DYSPLASIA SYNDROME; LACRIMOAURICULODENTODIGITAL SYNDROME; SCAPHOCEPHALY, MAXILLARY RETRUSION, AND MENTAL RETARDATION","APERT SYNDROME; BEARE-STEVENSON CUTIS GYRATA SYNDROME; BSTVS; PFEIFFER SYNDROME; ANTLEY-BIXLER SYNDROME WITHOUT GENITAL ANOMALIES OR DISORDERED STEROIDOGENESIS; ABS2; JACKSON-WEISS SYNDROME; JWS; SAETHRE-CHOTZEN SYNDROME; SCS; CROUZON SYNDROME; ENT BONE DYSPLASIA SYNDROME; BBDS; LACRIMOAURICULODENTODIGITAL SYNDROME; LADD; SCAPHOCEPHALY, MAXILLARY RETRUSION, AND MENTAL RETARDATION",0,101200; 123790; 101600; 207410; 123150; 101400; 123500; 614592; 149730; 609579,"cell cycle, hedgehog signaling, MAPK signaling, metabolism, nervous system development, response to growth factor, RNA metabolism, synapse, transcription, transporters, vesicle transport, Wnt signaling",1,1
FGFR3,2261,134934,ENSG00000068078,624,3690,4p16.3,0,ID data freeze 388,7,"Ua, Ub",Mendelian autosomal,dominant,0,"MUENKE SYNDROME; ACHONDROPLASIA; HYPOCHONDROPLASIA; THANATOPHORIC DYSPLASIA; CROUZON SYNDROME WITH ACANTHOSIS NIGRICANS; CAMPTODACTYLY, TALL STATURE, AND HEARING LOSS SYNDROME; LACRIMOAURICULODENTODIGITAL SYNDROME","MUENKE SYNDROME; MNKES; ACHONDROPLASIA; ACH; HYPOCHONDROPLASIA; HCH; THANATOPHORIC DYSPLASIA, TYPE I; TD1; CROUZON SYNDROME WITH ACANTHOSIS NIGRICANS; CAN; CAMPTODACTYLY, TALL STATURE, AND HEARING LOSS SYNDROME; THANATOPHORIC DYSPLASIA, TYPE II; TD2; LACRIMOAURICULODENTODIGITAL SYNDROME; LADD",1,602849; 100800; 146000; 187600; 612247; 610474; 187601; 149730,"cell cycle, hedgehog signaling, MAPK signaling, metabolism, nervous system development, response to growth factor, RNA metabolism, transcription, ubiquitination, Wnt signaling",1,1
FH,2271,136850,ENSG00000091483,652,3700,1q42.1,1,ID data freeze 388,2,"B, C, E, G, H, L2, M, P",Mendelian autosomal,recessive; dominant,0,FUMARASE DEFICIENCY; HEREDITARY LEIOMYOMATOSIS AND RENAL CELL CANCER,FUMARASE DEFICIENCY; HEREDITARY LEIOMYOMATOSIS AND RENAL CELL CANCER; HLRCC,0,606812; 150800,mitochondria,0,0
FIG4,9896,609390,ENSG00000112367,11073,16873,6q21,0,ID data freeze 650,1,"(B), C, H, L1, S, Ua, Ub",Mendelian autosomal,recessive; dominant,1; 0,YUNIS-VARON SYNDROME; AMYOTROPHIC LATERAL SCLEROSIS ; CHARCOT-MARIE-TOOTH DISEASE,"YUNIS-VARON SYNDROME; YVS; AMYOTROPHIC LATERAL SCLEROSIS 11; ALS11; CHARCOT-MARIE-TOOTH DISEASE, TYPE 4J; CMT4J",0,216340; 612577; 611228,nervous system development,0,0
FKRP,79147,606596,ENSG00000181027,5962,17997,19q13.32,0,ID data freeze 388,1,"(C), L1, Q, T",Mendelian autosomal,recessive,0,MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH OR WITHOUT MENTAL RETARDATION); MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES); MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE),"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH OR WITHOUT MENTAL RETARDATION), TYPE B, 5; MDDGB5; MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 5; MDDGA5; MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 5; MDDGC5",0,606612; 613153; 607155,NULL,1,1
FKTN,2218,607440,ENSG00000106692,6308,3622,9q31-q33,0,ID data freeze 388,4,"C, H, L1, Q, T",Mendelian autosomal,recessive,0,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES); MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITHOUT MENTAL RETARDATION); MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE); CARDIOMYOPATHY, DILATED","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 4; MDDGA4; MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITHOUT MENTAL RETARDATION), TYPE B, 4; MDDGB4; MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 4; MDDGC4; CARDIOMYOPATHY, DILATED, 1X; CMD1X",0,253800; 613152; 611588; 611615,"glycosylation, MAPK signaling, metabolism, nervous system development",0,0
FLNA,2316,300017,ENSG00000196924,2060,3754,Xq28,1,ID data freeze 388,"1, 5","C, E, (L1), L2, Ua, Ub, V, W, X",Mendelian X-linked,dominant; recessive; not sure,0,"HETEROTOPIA, PERIVENTRICULAR; FG SYNDROME; OTOPALATODIGITAL SYNDROME; MELNICK-NEEDLES SYNDROME; FRONTOMETAPHYSEAL DYSPLASIA; CARDIAC VALVULAR DYSPLASIA, X-LINKED; HETEROTOPIA, PERIVENTRICULAR, EHLERS-DANLOS VARIANT; INTESTINAL PSEUDOOBSTRUCTION, NEURONAL, CHRONIC IDIOPATHIC; TERMINAL OSSEOUS DYSPLASIA","HETEROTOPIA, PERIVENTRICULAR, X-LINKED DOMINANT; FG SYNDROME 2; FGS2; OTOPALATODIGITAL SYNDROME, TYPE II; OPD2; MELNICK-NEEDLES SYNDROME; MNS; OTOPALATODIGITAL SYNDROME, TYPE I; OPD1; FRONTOMETAPHYSEAL DYSPLASIA; FMD; CARDIAC VALVULAR DYSPLASIA, X-LINKED; CVD1; HETEROTOPIA, PERIVENTRICULAR, EHLERS-DANLOS VARIANT; INTESTINAL PSEUDOOBSTRUCTION, NEURONAL, CHRONIC IDIOPATHIC, X-LINKED; TERMINAL OSSEOUS DYSPLASIA; TOD",0,300049; 300321; 304120; 309350; 311300; 305620; 314400; 300537; 300048; 300244,"actin, cell cycle, Cilia, dopamin receptor signaling, metabolism, microtubule, protein transport, RNA metabolism, small GTPase signaling, transcription, transporters, vesicle transport",1,1
FMR1,2332,309550,ENSG00000102081,2398,3775,Xq27.3,0,ID data freeze 388,"2, 3",P,Mendelian X-linked,not sure,0,FRAGILE X MENTAL RETARDATION SYNDROME; FRAGILE X TREMOR/ATAXIA SYNDROME; PREMATURE OVARIAN FAILURE,FRAGILE X MENTAL RETARDATION SYNDROME; FRAGILE X TREMOR/ATAXIA SYNDROME; FXTAS; PREMATURE OVARIAN FAILURE 1; POF1,0,300624; 300623; 311360,"metabolism, nervous system development, synapse, transporters",1,1
FOXG1,2290,164874,ENSG00000176165,1283,3811,14q13,0,ID data freeze 388,2,"B, E, L2, P",Mendelian autosomal,dominant,0,"RETT SYNDROME, CONGENITAL VARIANT","RETT SYNDROME, CONGENITAL VARIANT; RETT SYNDROME, CONGENITAL VARIANT",0,613454,"cell cycle, metabolism, nervous system development, RNA metabolism, transcription",1,1
FOXP1,27086,605515,ENSG00000114861,18518,3823,3p14.1,0,ID data freeze 388,6,P,Mendelian autosomal,dominant,0,MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND AUTISTIC FEATURES,MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND AUTISTIC FEATURES,1,613670,"actin, chromatin, metabolism, nervous system development, RNA metabolism, transcription",1,1
FRAS1,80144,607830,ENSG00000138759,6382,19185,4q21.21,0,ID data freeze 388,7,"T, Ua, W, X",Mendelian autosomal,recessive,0,FRASER SYNDROME,FRASER SYNDROME,0,219000,transporters,0,0
FRY,10129,614818,ENSG00000073910,10821,20367,13q13.1,0,ID data freeze 650,5,T,Mendelian autosomal,recessive,1,syndromic ID,syndromic ID,0,NULL,microtubule,0,0
FTO,79068,610966,ENSG00000140718,NULL,24678,16q12.2,0,ID data freeze 388,1,"A, B, C, E, L1, V, W",Mendelian autosomal,recessive,1,"GROWTH RETARDATION, DEVELOPMENTAL DELAY, COARSE FACIES, AND EARLY DEATH","GROWTH RETARDATION, DEVELOPMENTAL DELAY, COARSE FACIES, AND EARLY DEATH; GDFD",0,612938,"DNA repair, metabolism, RNA metabolism",0,0
FTSJ1,24140,300499,ENSG00000068438,6568,13254,Xp11.23,0,ID data freeze 388,3,P,Mendelian X-linked,recessive,0,"MENTAL RETARDATION, X-LINKED","MENTAL RETARDATION, X-LINKED 9; MRX9; MENTAL RETARDATION, X-LINKED 9; MRX9",0,309549,RNA metabolism,1,1
FUCA1,2517,612280,ENSG00000179163,1974,4006,1p34,0,ID data freeze 388,8b,"A, (C), E, G, H, J, M, S, U",Mendelian autosomal,recessive,0,FUCOSIDOSIS,FUCOSIDOSIS,0,230000,NULL,1,1
GABRB3,2562,137192,ENSG00000166206,8844,4083,15q12,0,ID data freeze 650,5,"E, P",Mendelian autosomal,dominant,1,"EPILEPSY, CHILDHOOD ABSENCE, SUSCEPTIBILITY TO","EPILEPSY, CHILDHOOD ABSENCE, SUSCEPTIBILITY TO, 5; ECA5",0,612269,"ion transport, nervous system development, synapse, transporters",0,0
GAD1,2571,605363,ENSG00000128683,12011,4092,2q31,0,ID data freeze 388,2,H,Mendelian autosomal,recessive,1,"CEREBRAL PALSY, SPASTIC QUADRIPLEGIC","CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 1; CPSQ1",0,603513,"mitochondria, synapse, transporters",1,1
GALE,2582,606953,ENSG00000117308,6092,4116,1p36-p35,0,ID data freeze 388,8a,M,Mendelian autosomal,recessive,0,GALACTOSE EPIMERASE DEFICIENCY,GALACTOSE EPIMERASE DEFICIENCY,0,230350,NULL,1,1
GALT,2592,606999,ENSG00000213930,6106,4135,9p13,0,ID data freeze 388,8b,"(G), H, M",Mendelian autosomal,recessive,0,GALACTOSEMIA,GALACTOSEMIA,0,230400,NULL,1,1
GAMT,2593,601240,ENSG00000130005,3142,4136,19p13.3,0,ID data freeze 388,5,"E, H, M, P",Mendelian autosomal,recessive,0,GUANIDINOACETATE METHYLTRANSFERASE DEFICIENCY,GUANIDINOACETATE METHYLTRANSFERASE DEFICIENCY,0,612736,NULL,0,0
GATAD2B,57459,614998,ENSG00000143614,15094,30778,1q21.3,0,ID data freeze 650,2,NULL,Mendelian autosomal,dominant,1,"MENTAL RETARDATION, AUTOSOMAL DOMINANT","MENTAL RETARDATION, AUTOSOMAL DOMINANT 18; MRD18",0,615074,"RNA metabolism, transcription",0,0
GATM,2628,602360,ENSG00000171766,3838,4175,15q21.1,0,ID data freeze 388,5,"(E), M, P",Mendelian autosomal,recessive,1,ARGININE:GLYCINE AMIDINOTRANSFERASE DEFICIENCY,ARGININE:GLYCINE AMIDINOTRANSFERASE DEFICIENCY,0,612718,mitochondria,0,0
GCH1,2643,600225,ENSG00000131979,2573,4193,14q22.1-q22.2,0,ID data freeze 388,8b,"E, G, H, M",Mendelian autosomal,recessive; dominant,1; 0,"HYPERPHENYLALANINEMIA; DYSTONIA, DOPA-RESPONSIVE","HYPERPHENYLALANINEMIA, BH4-DEFICIENT, B; HPABH4B; DYSTONIA, DOPA-RESPONSIVE; DRD",0; 1,233910; 128230,metabolism,1,1
GCSH,2653,238330,ENSG00000140905,1998,4208,16q23.2,0,ID data freeze 388,2,"C, E, (G), H, M",Mendelian autosomal,recessive,0,GLYCINE ENCEPHALOPATHY,GLYCINE ENCEPHALOPATHY; GCE,0,605899,mitochondria,1,1
GDI1,2664,300104,ENSG00000203879,2114,4226,Xq28,1,ID data freeze 388,6,NULL,Mendelian X-linked,recessive,0,"MENTAL RETARDATION, X-LINKED","MENTAL RETARDATION, X-LINKED 41; MRX41",0,300849,"MAPK signaling, metabolism, nervous system development, protein transport, small GTPase signaling, transporters",1,1
GFAP,2670,137780,ENSG00000131095,675,4235,17q21,1,ID data freeze 388,5,"C, E, F, G, H, L2",Mendelian autosomal,dominant,0,ALEXANDER DISEASE,ALEXANDER DISEASE,0,203450,"nervous system development, synapse, transporters",0,0
GJC2,57165,608803,ENSG00000198835,10582,17494,1q42.13,0,ID data freeze 388,5,"G, H, L2",Mendelian autosomal,recessive,0,"LEUKODYSTROPHY; SPASTIC PARAPLEGIA, AUTOSOMAL RECESSIVE; LYMPHEDEMA, HEREDITARY","LEUKODYSTROPHY, HYPOMYELINATING, 2; HLD2; SPASTIC PARAPLEGIA 44, AUTOSOMAL RECESSIVE; SPG44; LYMPHEDEMA, HEREDITARY, IC",0,608804; 613206; 613480,transporters,0,0
